temperature;humidity;precipitation;windSpeed
25;78;0;6.6
23.6;71;0;6.4
24;67;0;7.8
24.7;63;0;5.3
25.1;61;0;7.6
22.2;64;0;6.9
23;51;0;4.8
24.6;53;0;10.1
24.6;75;20.1;7.3
25.1;83;13.4;5.3
26.1;77;0;7
28.3;66;0;7.8
26.9;63;0;9.5
28.2;80;25;7.4
24;83;33.3;7.7
20.8;65;0;4.5
21.3;58;0;7.8
23.1;62;0;6.7
28.7;68;0;6.2
22.5;91;8.7;5.8
26.5;88;4.8;7
25.7;81;0;5.3
25.6;71;0;6.1
26.8;69;0;4.7
28.3;68;0;4.5
26.2;65;0;6.1
23.2;64;0;7
23.4;62;0;4.9
25;83;10.5;7.4
20.2;62;0;6
21.7;47;0;3.4
24;60;0;3.6
26.3;61;0;5.7
27.8;56;0;8.5
27.4;67;0;8.5
25.9;80;0;7.5
25.7;83;0;4.7
28.3;79;0;8
26.6;76;0;7.7
22.6;69;0;7
20.2;59;0;6.2
23.1;61;0;7.9
24.6;59;0;7.6
25.6;60;0;5.1
26.2;82;10.4;4.2
28.1;75;0;4.5
28.1;85;0.4;8.7
26.8;80;19.3;10.5
21.2;65;0;6.8
21.7;60;0;4
20.2;56;0;6.8
16.8;68;0;6.2
18.8;64;0;4.6
20;67;0;4.3
22.3;65;0;4.6
22.5;63;0;3.2
20.8;65;0;5.8
22.9;56;0;2.4
24.3;59;0;2.7
26.1;57;0;2.7
26.3;54;0;5.8
26.5;51;0;6.2
25.9;56;0;4.3
27;53;0;6.3
25.3;54;0;6.6
25.5;53;0;5.1
25.7;55;0;4.3
27.7;54;0;3.9
29.1;54;0;7.6
27.1;64;0;8.9
28.2;72;0;9.7
27.2;64;0;6.8
29.4;62;0;7.4
28.2;71;0;8.7
21.9;94;13.4;3.9
21.9;80;0;6.4
22.1;95;68.2;7.6
20.6;86;0.9;5.6
21.6;71;0;5.4
22.3;64;0;2.9
21.9;63;0;5.7
23.7;60;0;7.8
24.4;58;0;9.1
27.2;60;0;8.4
26.6;67;0;6.1
23.7;83;0;2.9
20.8;97;30;2.8
23.2;87;10.6;3.2
24.5;83;0;2.2
25.9;70;0;3.9
26.9;73;0;4.1
25.1;88;2.5;7.4
18.3;72;0;6.7
17.2;69;0;2.7
18.3;68;0;5.4
20.7;71;0;5.1
17.5;61;0;6.9
14.3;53;0;5
15.6;60;0;5.8
16.8;63;0;5.4
17.8;66;0;5.4
18.4;60;0;5.9
19.9;58;0;5.8
16.5;86;10.4;6
14.8;71;0;5
15.1;65;0;4.1
17.5;53;0;4
18;50;0;4.5
19.4;62;0;6.1
21.1;63;0;5
22.8;65;0;3.5
23.3;68;0;6.5
22.2;71;0;5
23.8;60;0;9.2
26.8;54;0;10.2
22.5;75;9.7;7.6
18.7;92;6.2;10.3
19.3;94;23.9;10.9
18.4;91;11.7;5.5
16.1;63;0;2.6
19.5;53;0;3.2
18.8;65;0;4.6
16.5;69;0;8.1
15.9;73;0;5.9
18.6;82;0.7;4.8
14.7;75;0;11.5
11.2;74;0;3.1
12.8;71;0;4.1
13.7;66;0;10.1
17.5;52;0;11.1
21.8;57;0;8.2
18.9;52;0;6.8
17.6;51;0;4.9
14.9;66;0;6.3
12.5;70;0;4.1
16.8;55;0;5.8
19.4;57;0;7.3
21.6;52;0;5.8
20.1;60;0;8.8
