Google_Maps_type,Google_Place_type,Activity_type,Area,Covered_area,Workers_place,Workers_area
accounting,accounting,3,100,90,0,20
art_gallery,art_gallery,2,150,80,4,0
art_center,art_gallery,,,,,
association_or_organization,association_or_organization,3,240,80,0,30
non_profit_organization,association_or_organization,,,,,
non_governmental_organization,association_or_organization,,,,0,15
political_party,association_or_organization,,150,80,0,15
atm,atm,3,50,100,2,0
bakery,bakery,3,100,70,0,60
wholesale_bakery,bakery,,,,,
bank,bank,3,350,80,0,40
bar,bar,2,120,80,0,20
beauty_salon,beauty_salon,2,100,100,0,20
beautician,beauty_salon,,,,,
bicycle_store,bicycle_store,3,100,90,0,40
bicycle_repair_shop,bicycle_store,,60,90,,
book_store,book_store,3,80,90,3,0
pen_store,book_store,,,,,
copy_shop,book_store,,,,,
commercial_printer,book_store,,,,,
bus_station,bus_station,2,4200,60,0,60
cafe,cafe,3,100,90,0,20
campground,campground,2,20000,10,2,0
car_dealer,car_dealer,3,350,80,0,20
motorcycle_dealer,car_dealer,,100,90,0,20
car_repair,car_repair,3,120,80,0,20
car_wash,car_wash,3,120,60,0,20
casino,casino,2,1000,100,0,20
cemetery,cemetery,3,85000,10,4,0
church,church,2,1500,80,6,0
place_of_worship,church,,,,,
religious_institution,church,,,,,
clothing_store,clothing_store,3,100,100,0,20
childrens_clothing_store,clothing_store,,80,100,,
club,club,2,2500,70,0,80
construction_company,construction_company,1,100,80,0,15
building_firm,construction_company,,,,,
housing_development,construction_company,,,,,
home_builder,construction_company,,,,,
housing_cooperative,construction_company,,,,,
convenience_store,convenience_store,3,80,100,0,20
grocery_or_supermarket,convenience_store,,,,0,40
butcher_shop,convenience_store,,,,,
poultry_store,convenience_store,,70,90,,
fruit_and_vegetable_store,convenience_store,,50,60,,
health_food_store,convenience_store,,,,,
grocery_store,convenience_store,,,,0,30
market,convenience_store,,,,0,30
farm,convenience_store,,,,,
fresh_food_market,convenience_store,,,,,
cold_cut_store,convenience_store,,,,,
corporate_office,corporate_office,1,750,80,0,15
